フェーズ,タスク,期間（日数）,担当者,状態
Phase0: 設計レビュー・準備,,2,,
,サービス要件定義レビュー,1,Hayashi,未着手
,テスト設計書・DB設計レビュー,1,Hayashi,未着手
,資格データの初期準備,1,Hayashi,未着手
Phase1: 環境構築・基盤,,5,,
,Next.js/TypeScriptプロジェクト初期化,1,Hayashi,未着手
,Supabaseプロジェクト設定,2,Hayashi,未着手
,Tailwind CSS・共通コンポーネント設定,2,Hayashi,未着手
,基本レイアウト・ルーティング設定,2,Hayashi,未着手
Phase2: 認証・ユーザー機能,,5,,
,Google認証機能実装,2,Hayashi,未着手
,ログイン・ログアウト機能実装,1,Hayashi,未着手
,プロフィール画面UI/機能実装,2,Hayashi,未着手
Phase3: プロジェクト・タスク機能,,8,,
,資格選択・プロジェクト作成機能,3,Hayashi,未着手
,プロジェクト画面・タスク表示機能,2,Hayashi,未着手
,タスクCRUD機能（作成/編集/完了）,3,Hayashi,未着手
Phase4: コミュニティ機能,,6,,
,アクティビティ投稿機能,2,Hayashi,未着手
,タイムライン表示・閲覧機能,2,Hayashi,未着手
,いいね機能実装,2,Hayashi,未着手
Phase5: 最終調整・テスト,,4,,
,レスポンシブ対応・UI調整,2,Hayashi,未着手
,全機能の結合テスト・デバッグ,2,Hayashi,未着手
,他ユーザープロフィール・進捗閲覧,3,Hayashi,未着手
Phase5: UI/UX改善・テスト,,3,,
,レスポンシブデザイン対応,2,Hayashi,未着手
,全機能の結合テスト・デバッグ,3,Hayashi,未着手
,ユーザーテスト・フィードバック反映,2,Hayashi,未着手
